function_sequence,recurrence,n_funcs,n_chromosomes,chromosomes,program_count
Unclassified|Cell cycle|Cytoskeleton|Protein folding,1,4,2,"chr18,chr21",2
Transcription|Chromatin|Cell cycle,1,3,2,"chr17,chr6",2
Proteolysis|Unclassified|Chromatin|Cytoskeleton,1,4,2,"chr10,chr11",3
Transcription|Chromatin|Cell adhesion|Unclassified,1,4,2,"chr11,chr20",2
Unclassified|Cell cycle|DNA repair,1,3,2,"chr15,chrx",3
Unclassified|Kinase|Chromatin|Cytoskeleton,1,4,2,"chr17,chr20",2
Chromatin|Cell cycle|Chromatin|RNA processing,1,3,2,"chr15,chr5",2
Cytoskeleton|Unclassified|Kinase,1,3,2,"chr16,chr5",2
Cytoskeleton|Cell cycle|Chromatin,1,3,2,"chr12,chrx",2
Cytoskeleton|Unclassified|DNA repair,1,3,2,"chr1,chr14",3
Unclassified|Kinase|Cytoskeleton|Unclassified,1,3,2,"chr10,chr7",5
Chromatin|Transcription|Chromatin|Cell adhesion,1,3,2,"chr17,chr5",3
RNA processing|Unclassified|Chromatin,1,3,2,"chr1,chr17",3
Cell cycle|Chromatin|Ubiquitin,1,3,2,"chr17,chr2",2
Chromatin|Cytoskeleton|Unclassified,1,3,2,"chr10,chr9",2
Cell cycle|Chromatin|Transcription,1,3,2,"chr14,chr19",4
Structural|Unclassified|Cell cycle,1,3,2,"chr17,chr5",2
Cytoskeleton|Unclassified|Cell cycle|Cytoskeleton,1,3,2,"chr12,chr16",5
Structural|Unclassified|Kinase|Cell cycle,1,4,2,"chr11,chr2",2
Transcription|Chromatin|Transcription|Chromatin|RNA processing,1,3,2,"chr17,chr4",3
Unclassified|RNA processing|Cytoskeleton|Protein folding,1,4,2,"chr18,chr7",2
Cytoskeleton|Chromatin|RNA processing|Chromatin,1,3,2,"chr16,chr2",2
Unclassified|Kinase|RNA processing|Unclassified,1,3,2,"chr1,chr4",2
Chromatin|Unclassified|Cytoskeleton|Unclassified,1,3,2,"chr11,chr2",5
Chromatin|Transcription|Chromatin|Cell adhesion|RNA processing,1,4,2,"chr10,chr17",2
Chromatin|Unclassified|DNA repair,1,3,2,"chr12,chr9",2
Unclassified|Cell cycle|RNA processing,1,3,2,"chr16,chr20",2
Unclassified|Structural|Cytoskeleton,1,3,2,"chr17,chr7",3
Unclassified|Cytoskeleton|Chromatin|Cytoskeleton,1,3,2,"chr1,chr10",2
Unclassified|Cytoskeleton|Chromatin,1,3,2,"chr1,chr16",3
Unclassified|Kinase|Cell cycle|Proteolysis|Cytoskeleton,1,5,2,"chr1,chr20",2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,46
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,28
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,29
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,6,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,6,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin,1,6,1,chr22,1
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle,1,4,1,chr22,1
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation,1,5,1,chr22,1
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle,1,5,1,chr22,1
Unclassified|Cell cycle|Cell adhesion|Cytoskeleton|DNA repair,1,5,1,chr5,1
Unclassified|Cell cycle|Chromatin|DNA repair,1,4,1,chr1,1
Unclassified|Cell cycle|Chromatin|RNA processing,1,4,1,chr4,1
Unclassified|Cell cycle|Chromatin|Unclassified|Chromatin|Cell cycle,1,3,1,chr6,1
Unclassified|Cell cycle|Chromatin|Unclassified|Transcription,1,4,1,chr10,3
Unclassified|Cell cycle|Cytoskeleton|Transcription,1,4,1,chr18,1
Unclassified|Cell cycle|DNA repair|RNA processing|Unclassified|Cell cycle,1,4,1,chr11,1
Unclassified|Cell cycle|Ion channel,1,3,1,chr16,1
Unclassified|Cell cycle|Methylation,1,3,1,chr14,12
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,3,1,chr22,1
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,3,1,chr22,1
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,4,1,chr14,76
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,4,1,chr14,195
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,5,1,chr14,65
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,4,1,chr14,65
Unclassified|Cell cycle|Proteolysis,1,3,1,chr17,1
Unclassified|Cell cycle|Proteolysis|Protein folding|Cytoskeleton|Unclassified,1,5,1,chrx,1
Unclassified|Cell cycle|Structural|RNA processing|Unclassified,1,4,1,chr8,1
Unclassified|Cell cycle|Structural|Unclassified,1,3,1,chr1,1
Unclassified|Cell cycle|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr17,1
Unclassified|Cell cycle|Unclassified|Protein folding,1,3,1,chr3,1
Unclassified|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Unclassified,1,3,1,chr14,14
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified,1,3,1,chr14,8
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle,1,4,1,chr14,4
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,1
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,1
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,1
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,26
Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Cell adhesion|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,6,1,chr14,14
Unclassified|Chromatin|Cell adhesion|DNA repair,1,4,1,chr9,1
Unclassified|Chromatin|Cell adhesion|Unclassified,1,3,1,chr19,1
Unclassified|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton,1,3,1,chr11,1
Unclassified|Chromatin|Cytoskeleton|DNA repair|Cytoskeleton,1,4,1,chr16,4
Unclassified|Chromatin|Cytoskeleton|Kinase,1,4,1,chr11,1
Unclassified|Chromatin|Cytoskeleton|Transcription|Chromatin|Phosphatase|Cell adhesion,1,6,1,chr11,1
Unclassified|Chromatin|Cytoskeleton|Unclassified,1,3,1,chr15,1
Unclassified|Chromatin|Methylation,1,3,1,chr11,2
Unclassified|Chromatin|Structural,1,3,1,chr3,1
Unclassified|Chromatin|Transcription,1,3,1,chr19,1
Unclassified|Chromatin|Ubiquitin|Cell adhesion,1,4,1,chr5,1
Unclassified|Chromatin|Ubiquitin|Unclassified,1,3,1,chr5,1
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified,1,3,1,chr14,8
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle,1,5,1,chr14,8
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,8
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,8
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,5,1,chr14,4
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,5,1,chr14,76
Unclassified|Chromatin|Unclassified|Cell adhesion|Chromatin|Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,6,1,chr14,56
Unclassified|Chromatin|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr21,1
Unclassified|Chromatin|Unclassified|Structural,1,3,1,chr20,1
Unclassified|Cytoskeleton|DNA repair|Nuc acid bind,1,4,1,chr17,4
Unclassified|Cytoskeleton|DNA repair|Phosphatase|Unclassified,1,4,1,chr11,1
Unclassified|Cytoskeleton|DNA repair|Proteolysis,1,4,1,chr11,1
Unclassified|Cytoskeleton|DNA repair|Unclassified|Cytoskeleton,1,3,1,chr1,1
Unclassified|Cytoskeleton|DNA repair|Unclassified|Kinase|Protein folding|Cytoskeleton|Unclassified|Protein folding|Unclassified,1,5,1,chr3,1
Unclassified|Cytoskeleton|RNA processing|Cell cycle,1,4,1,chr3,1
Unclassified|Cytoskeleton|RNA processing|Cytoskeleton|Unclassified,1,3,1,chr5,1
Unclassified|Cytoskeleton|Transcription,1,3,1,chr14,1
Unclassified|Cytoskeleton|Transcription|Cytoskeleton,1,3,1,chr11,1
Unclassified|Cytoskeleton|Ubiquitin,1,3,1,chr1,2
Unclassified|Cytoskeleton|Unclassified|Kinase|Cell cycle,1,4,1,chr19,1
Unclassified|Cytoskeleton|Unclassified|Kinase|Cytoskeleton|Unclassified,1,3,1,chr16,1
Unclassified|Cytoskeleton|Unclassified|RNA processing,1,3,1,chr10,1
Unclassified|DNA repair|Cell cycle,1,3,1,chr12,1
Unclassified|DNA repair|Transcription,1,3,1,chrx,1
Unclassified|DNA repair|Unclassified|Cytoskeleton|DNA repair,1,3,1,chr17,2
Unclassified|Ion channel|Transcription|Chromatin,1,4,1,chr5,1
Unclassified|Kinase|Cell cycle|Chromatin,1,4,1,chr5,1
Unclassified|Kinase|Cell cycle|Chromatin|Cytoskeleton,1,5,1,chr7,1
Unclassified|Kinase|Cell cycle|Cytoskeleton|Cell cycle,1,4,1,chr17,1
Unclassified|Kinase|Cell cycle|Cytoskeleton|Chromatin,1,5,1,chr6,1
Unclassified|Kinase|Cell cycle|Cytoskeleton|Protein folding,1,5,1,chrx,1
Unclassified|Kinase|Cell cycle|Cytoskeleton|Unclassified|Cytoskeleton,1,4,1,chr15,1
Unclassified|Kinase|Cell cycle|Protein folding,1,4,1,chr7,1
Unclassified|Kinase|Cell cycle|RNA processing|Transcription|Cell cycle,1,5,1,chr10,2
Unclassified|Kinase|Cell cycle|Transcription,1,4,1,chrx,1
Unclassified|Kinase|Cell cycle|Ubiquitin,1,4,1,chr19,1
Unclassified|Kinase|Cell cycle|Unclassified|DNA repair,1,4,1,chr9,1
Unclassified|Kinase|Chromatin|Cell cycle,1,4,1,chr1,1
Unclassified|Kinase|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|DNA repair,1,5,1,chr22,1
Unclassified|Kinase|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|Transcription|Unclassified,1,5,1,chr10,1
Unclassified|Kinase|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr18,1
Unclassified|Kinase|DNA repair|Chromatin,1,4,1,chr11,1
Unclassified|Kinase|DNA repair|Protein folding,1,4,1,chr10,2
Unclassified|Kinase|Protein folding|Unclassified,1,3,1,chr7,1
Unclassified|Kinase|Proteolysis|Cytoskeleton,1,4,1,chr4,1
Unclassified|Kinase|Proteolysis|Unclassified|Protein folding,1,4,1,chr5,1
Unclassified|Kinase|RNA processing|Cell cycle|Unclassified|Cell cycle,1,4,1,chr10,1
Unclassified|Kinase|RNA processing|Cytoskeleton,1,4,1,chr2,1
Unclassified|Kinase|Structural,1,3,1,chr14,1
Unclassified|Kinase|Structural|Cell cycle,1,4,1,chr5,1
Unclassified|Kinase|Transcription|Unclassified|Kinase|Cell cycle,1,4,1,chr5,1
Unclassified|Kinase|Ubiquitin,1,3,1,chr20,1
Unclassified|Kinase|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr9,1
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,3,1,chr22,1
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,3,1,chr22,1
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,3,1,chr22,1
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,4,1,chr14,136
Unclassified|Protein folding|Chromatin,1,3,1,chr17,1
